regime,N,p,q,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epochs,epochs_gamma,epochs_beta,delta,n_fit,mean_degree,lcc_size,lcc_frac,n_components,n_isolated,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,10.0,1.9945956405993723,4,sbm_dpsgd_all_noised,1.9223734183771504,0.5431122541136532,11.0,6.0,5.0,1e-05,481,3.364,481,0.962,20,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.11304403096437454,0.006946247071027756,0.11432459950447083,0.0011223617605857852
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,20.0,0.977390412892278,4,edge_flip_vem,,,304,,,1e-05,481,3.364,481,0.962,20,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.007369997911155224,0.0,0.0,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,20.0,0.977390412892278,4,edge_flip_spectral,,,,,,1e-05,481,3.364,481,0.962,20,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.06334187835454941,0.0,0.07164952903985977,8.410965693728515e-05
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,20.0,0.977390412892278,4,sbm_dpsgd_all_noised,0.9419985000802904,0.40561225411365304,11.0,6.0,5.0,1e-05,481,3.364,481,0.962,20,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.11423448473215103,0.007460514549165964,0.11311990767717361,0.0002515373811647483
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.43885139089614,5,edge_flip_vem,,,241,,,1e-05,473,3.668,473,0.946,23,20,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.0,0.008169992826879025,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.43885139089614,5,edge_flip_spectral,,,,,,1e-05,473,3.668,473,0.946,23,20,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.01304016262292862,0.0015940094599500299,0.017070244997739792,0.5287135589831521
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.43885139089614,5,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,10.999704375246353,5.999838750134375,4.999865625111979,1e-05,473,3.668,473,0.946,23,20,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.11021113395690918,0.007000924553722143,0.11834719777107239,0.00026010111065555785
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,2.0,11.728684954707337,5,edge_flip_vem,,,228,,,1e-05,473,3.668,473,0.946,23,20,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.0,0.008171023800969124,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,2.0,11.728684954707337,5,edge_flip_spectral,,,,,,1e-05,473,3.668,473,0.946,23,20,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.012990307994186878,0.0015886393375694752,0.01718703657388687,0.5394172949940618
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,2.0,11.728684954707337,5,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,10.999704375246353,5.999838750134375,4.999865625111979,1e-05,473,3.668,473,0.946,23,20,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.11056195944547653,0.0070972200483083725,0.11763788014650345,7.843456956851243e-05
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,5.0,4.1484505404580005,5,edge_flip_vem,,,454,,,1e-05,473,3.668,473,0.946,23,20,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.0,0.008348132483661175,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,5.0,4.1484505404580005,5,edge_flip_spectral,,,,,,1e-05,473,3.668,473,0.946,23,20,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.015407761558890343,0.0,0.020207423716783524,0.01207600496466003
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,5.0,4.1484505404580005,5,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,10.999704375246353,5.999838750134375,4.999865625111979,1e-05,473,3.668,473,0.946,23,20,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.10880178958177567,0.007264080923050642,0.11849600076675415,0.0007164639171205782
