N,K,dc_sigma,normalize_weights,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epsilon_rho,epochs,epochs_gamma,epochs_beta,delta,mean_degree,degree_cv,max_degree,min_degree,weight_mean,weight_cv,lcc_size,lcc_frac,n_components,n_isolated,beta_nominal_00,beta_nominal_01,beta_nominal_11,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
500,2,0.25,True,0.5,75.26107361311833,5,edge_flip_vem,,,,210,,,1e-05,55.28,0.22819856521621606,107,27,0.9999999999999999,0.19839433549216073,500,1.0,1,0,0.2,0.02,0.2,0.19659437751004016,0.020576,0.20610441767068274,0.20610441267490387,0.020576000213623047,0.19659437239170074,1.0
500,2,0.25,True,0.5,75.26107361311833,5,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,55.28,0.22819856521621606,107,27,0.9999999999999999,0.19839433549216073,500,1.0,1,0,0.2,0.02,0.2,0.19659437751004016,0.020576,0.20610441767068274,0.22209356725215912,0.012089371681213379,0.2133236974477768,1.0
500,2,0.25,True,0.5,75.26107361311833,6,edge_flip_vem,,,,309,,,1e-05,54.704,0.2227968442614694,93,29,1.0000000000000002,0.19290200463445561,500,1.0,1,0,0.2,0.02,0.2,0.198714859437751,0.02088,0.19874698795180723,0.19871485233306885,0.020880000665783882,0.19874699413776398,1.0
500,2,0.25,True,0.5,75.26107361311833,6,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,54.704,0.2227968442614694,93,29,1.0000000000000002,0.19290200463445561,500,1.0,1,0,0.2,0.02,0.2,0.198714859437751,0.02088,0.19874698795180723,0.23084700107574463,0.012976019643247128,0.2116566300392151,1.0
500,2,0.25,True,0.5,75.26107361311833,7,edge_flip_vem,,,,441,,,1e-05,55.312,0.2120124903653836,97,31,1.0,0.17994191612260307,500,1.0,1,0,0.2,0.02,0.2,0.19938955823293172,0.021344,0.20202409638554217,0.1648847758769989,0.11922124028205872,0.08278079330921173,0.001834112280531334
500,2,0.25,True,0.5,75.26107361311833,7,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,55.312,0.2120124903653836,97,31,1.0,0.17994191612260307,500,1.0,1,0,0.2,0.02,0.2,0.19938955823293172,0.021344,0.20202409638554217,0.2252461016178131,0.013688376173377037,0.21697115898132324,1.0
500,2,0.25,True,0.5,75.26107361311833,8,edge_flip_vem,,,,257,,,1e-05,54.956,0.23201203657710764,104,29,1.0,0.19037711277843733,500,1.0,1,0,0.2,0.02,0.2,0.20324497991967871,0.020384,0.19723694779116466,0.19723695516586304,0.02038400061428547,0.20324498414993286,1.0
500,2,0.25,True,0.5,75.26107361311833,8,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,54.956,0.23201203657710764,104,29,1.0,0.19037711277843733,500,1.0,1,0,0.2,0.02,0.2,0.20324497991967871,0.020384,0.19723694779116466,0.2018963247537613,0.014012513682246208,0.22973567247390747,0.981182940453905
500,2,0.25,True,0.5,75.26107361311833,9,edge_flip_vem,,,,212,,,1e-05,55.076,0.22560436981011217,108,31,1.0,0.19729482192183767,500,1.0,1,0,0.2,0.02,0.2,0.19749397590361445,0.019536,0.20565461847389557,0.19749397039413452,0.01953599974513054,0.20565462112426758,1.0
500,2,0.25,True,0.5,75.26107361311833,9,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,55.076,0.22560436981011217,108,31,1.0,0.19729482192183767,500,1.0,1,0,0.2,0.02,0.2,0.19749397590361445,0.019536,0.20565461847389557,0.22113747894763947,0.011793629266321659,0.21871277689933777,1.0
